contraste,corr_ans,trigger,condition
.30,right,225,P
.025,left,212,P
.025,left,212,P
.30,right,225,P
.15,left,214,P
.30,left,215,P
.15,right,224,P
.15,left,214,P
.025,left,212,P
.30,left,215,P
.07,right,223,P
.01,left,211,P
.01,left,211,P
.025,left,212,P
.025,right,222,P
.07,right,223,P
.025,right,222,P
.15,right,224,P
.07,left,213,P
.01,left,211,P
.30,right,225,P
.07,left,213,P
.30,right,225,P
.07,right,223,P
.15,left,214,P
.30,left,215,P
.01,right,221,P
.07,right,223,P
.15,right,224,P
.01,left,211,P
.01,left,211,P
.025,right,222,P
.07,right,223,P
.15,left,214,P
.025,left,212,P
.30,right,225,P
.01,left,211,P
.025,left,212,P
.01,left,211,P
.07,right,223,P
.01,left,211,P
.15,right,224,P
.01,left,211,P
.30,right,225,P
.15,right,224,P
.01,right,221,P
.025,right,222,P
.30,right,225,P
.15,left,214,P
.07,right,223,P
.07,right,223,P
.15,right,224,P
.025,right,222,P
.01,right,221,P
.15,left,214,P
.025,left,212,P
.01,right,221,P
.15,left,214,P
.07,left,213,P
.01,right,221,P
.07,left,213,P
.07,left,213,P
.15,right,224,P
.30,left,215,P
.01,right,221,P
.15,left,214,P
.30,left,215,P
.025,right,222,P
.30,right,225,P
.01,left,211,P
.30,left,215,P
.30,right,225,P
.07,right,223,P
.025,right,222,P
.025,left,212,P
.025,left,212,P
.07,left,213,P
.07,left,213,P
.15,left,214,P
.01,right,221,P
.025,right,222,P
.07,left,213,P
.025,right,222,P
.15,right,224,P
.07,left,213,P
.01,right,221,P
.15,left,214,P
.30,left,215,P
.07,right,223,P
.07,left,213,P
.30,left,215,P
.30,left,215,P
.30,right,225,P
.15,right,224,P
.30,left,215,P
.025,left,212,P
.15,right,224,P
.01,right,221,P
.025,right,222,P
.01,right,221,P
.025,right,222,P
.30,left,215,P
.025,right,222,P
.025,left,212,P
.025,left,212,P
.01,left,211,P
.01,right,221,P
.07,right,223,P
.025,right,222,P
.01,right,221,P
.025,left,212,P
.01,left,211,P
.07,right,223,P
.30,right,225,P
.07,left,213,P
.07,left,213,P
.07,right,223,P
.30,right,225,P
.30,left,215,P
.07,left,213,P
.15,left,214,P
.30,right,225,P
.15,right,224,P
.025,right,222,P
.01,right,221,P
.15,left,214,P
.15,left,214,P
.07,right,223,P
.15,right,224,P
.01,right,221,P
.07,left,213,P
.025,left,212,P
.07,left,213,P
.01,right,221,P
.01,right,221,P
.07,right,223,P
.01,left,211,P
.07,left,213,P
.30,right,225,P
.01,right,221,P
.025,left,212,P
.07,right,223,P
.15,left,214,P
.01,right,221,P
.30,left,215,P
.15,right,224,P
.01,left,211,P
.025,left,212,P
.15,right,224,P
.15,left,214,P
.07,left,213,P
.01,left,211,P
.025,right,222,P
.07,right,223,P
.01,right,221,P
.15,right,224,P
.025,left,212,P
.30,left,215,P
.025,right,222,P
.15,right,224,P
.025,left,212,P
.15,right,224,P
.15,right,224,P
.30,left,215,P
.025,right,222,P
.30,left,215,P
.07,right,223,P
.01,right,221,P
.30,right,225,P
.15,left,214,P
.025,left,212,P
.01,left,211,P
.15,left,214,P
.15,left,214,P
.025,right,222,P
.30,left,215,P
.30,left,215,P
.025,left,212,P
.01,left,211,P
.01,left,211,P
.15,left,214,P
.15,right,224,P
.15,right,224,P
.30,right,225,P
.30,right,225,P
.01,left,211,P
.07,left,213,P
.30,right,225,P
.025,right,222,P
.01,left,211,P
.025,right,222,P
.30,right,225,P
.30,left,215,P
.07,left,213,P
.07,left,213,P
.15,left,214,P
.30,left,215,P
.30,right,225,P
.07,right,223,P
.07,right,223,P
.07,right,223,P
.01,right,221,P
.025,left,212,P
.07,right,223,P
.01,left,211,P
.30,right,225,P
.01,left,211,P
.30,left,215,P
.07,left,213,P
.07,right,223,P
.025,left,212,P
.025,right,222,P
.01,left,211,P
.07,left,213,P
.01,left,211,P
.025,right,222,P
.07,left,213,P
.15,right,224,P
.01,left,211,P
.025,left,212,P
.01,left,211,P
.01,right,221,P
.15,left,214,P
.07,left,213,P
.025,left,212,P
.30,left,215,P
.30,left,215,P
.07,right,223,P
.025,right,222,P
.07,left,213,P
.15,right,224,P
.01,right,221,P
.30,right,225,P
.15,left,214,P
.15,left,214,P
.15,left,214,P
.01,left,211,P
.01,right,221,P
.01,right,221,P
.025,right,222,P
.15,right,224,P
.01,right,221,P
.025,right,222,P
.025,right,222,P
.15,left,214,P
.30,right,225,P
.30,left,215,P
.01,right,221,P
.15,right,224,P
.025,right,222,P
.15,left,214,P
.15,right,224,P
.30,left,215,P
.30,right,225,P
.01,right,221,P
.15,left,214,P
.30,left,215,P
.025,right,222,P
.07,right,223,P
.15,left,214,P
.07,left,213,P
.025,left,212,P
.30,left,215,P
.07,left,213,P
.07,right,223,P
.025,right,222,P
.15,right,224,P
.07,right,223,P
.025,right,222,P
.30,right,225,P
.01,left,211,P
.07,left,213,P
.01,left,211,P
.07,right,223,P
.025,left,212,P
.15,right,224,P
.30,right,225,P
.15,right,224,P
.15,right,224,P
.07,left,213,P
.025,left,212,P
.01,left,211,P
.30,left,215,P
.07,left,213,P
.01,right,221,P
.15,left,214,P
.15,right,224,P
.30,right,225,P
.15,left,214,P
.025,left,212,P
.30,right,225,P
.025,left,212,P
.07,right,223,P
.30,left,215,P
.30,right,225,P
.30,right,225,P
.01,right,221,P
.025,left,212,P
.07,right,223,P
.30,left,215,P
.07,left,113,V
.025,right,122,V
.30,right,125,V
.01,left,111,V
.025,left,112,V
.025,right,122,V
.30,left,115,V
.07,left,113,V
.30,right,125,V
.01,right,121,V
.025,left,112,V
.07,right,123,V
.15,left,114,V
.025,left,112,V
.025,left,112,V
.15,right,124,V
.30,left,115,V
.01,right,121,V
.01,left,111,V
.01,left,111,V
.025,right,122,V
.025,left,112,V
.30,left,115,V
.15,left,114,V
.30,right,125,V
.01,right,121,V
.15,right,124,V
.15,right,124,V
.30,right,125,V
.01,left,111,V
.025,right,122,V
.30,left,115,V
.025,right,122,V
.01,left,111,V
.30,right,125,V
.30,right,125,V
.07,right,123,V
.15,left,114,V
.30,left,115,V
.07,right,123,V
.01,left,111,V
.15,left,114,V
.01,right,121,V
.30,left,115,V
.30,right,125,V
.15,left,114,V
.30,left,115,V
.15,left,114,V
.30,left,115,V
.15,right,124,V
.01,left,111,V
.15,left,114,V
.07,right,123,V
.07,right,123,V
.01,left,111,V
.025,right,122,V
.025,left,112,V
.01,right,121,V
.15,right,124,V
.15,left,114,V
.025,right,122,V
.30,right,125,V
.15,left,114,V
.025,left,112,V
.15,left,114,V
.07,left,113,V
.025,left,112,V
.30,left,115,V
.025,right,122,V
.025,left,112,V
.07,right,123,V
.025,right,122,V
.01,left,111,V
.15,right,124,V
.07,right,123,V
.07,left,113,V
.07,right,123,V
.01,right,121,V
.01,right,121,V
.07,left,113,V
.15,right,124,V
.15,right,124,V
.025,right,122,V
.07,left,113,V
.07,right,123,V
.07,left,113,V
.07,left,113,V
.30,right,125,V
.07,right,123,V
.01,right,121,V
.07,left,113,V
.025,left,112,V
.01,left,111,V
.01,right,121,V
.01,right,121,V
.30,right,125,V
.15,right,124,V
.30,left,115,V
.07,left,113,V
.15,right,124,V
.025,right,122,V
.30,left,115,V
.07,right,123,V
.01,right,121,V
.07,left,113,V
.15,left,114,V
.30,right,125,V
.025,right,122,V
.15,left,114,V
.025,right,122,V
.07,right,123,V
.15,right,124,V
.15,left,114,V
.07,left,113,V
.07,left,113,V
.01,right,121,V
.01,left,111,V
.15,left,114,V
.01,right,121,V
.07,left,113,V
.30,left,115,V
.15,right,124,V
.025,left,112,V
.15,left,114,V
.15,left,114,V
.15,right,124,V
.07,right,123,V
.01,left,111,V
.07,right,123,V
.30,left,115,V
.025,right,122,V
.15,right,124,V
.30,left,115,V
.025,left,112,V
.15,left,114,V
.025,right,122,V
.01,left,111,V
.30,left,115,V
.15,right,124,V
.025,left,112,V
.15,right,124,V
.025,right,122,V
.07,left,113,V
.07,right,123,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.01,left,111,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.30,left,115,V
.30,left,115,V
.30,right,125,V
.07,left,113,V
.025,right,122,V
.025,left,112,V
.30,left,115,V
.15,left,114,V
.01,right,121,V
.07,left,113,V
.01,right,121,V
.07,right,123,V
.07,right,123,V
.025,left,112,V
.01,left,111,V
.30,right,125,V
.07,right,123,V
.30,right,125,V
.025,left,112,V
.025,right,122,V
.01,right,121,V
.025,left,112,V
.30,right,125,V
.07,left,113,V
.01,left,111,V
.025,right,122,V
.30,right,125,V
.15,right,124,V
.15,right,124,V
.15,left,114,V
.025,left,112,V
.025,left,112,V
.01,right,121,V
.15,left,114,V
.15,right,124,V
.07,left,113,V
.30,right,125,V
.30,right,125,V
.01,right,121,V
.025,right,122,V
.07,right,123,V
.15,right,124,V
.07,left,113,V
.30,right,125,V
.30,left,115,V
.025,left,112,V
.07,right,123,V
.30,left,115,V
.30,right,125,V
.15,right,124,V
.07,left,113,V
.025,left,112,V
.15,left,114,V
.01,right,121,V
.15,left,114,V
.01,right,121,V
.30,right,125,V
.07,right,123,V
.30,right,125,V
.01,right,121,V
.025,right,122,V
.025,right,122,V
.15,left,114,V
.15,right,124,V
.01,right,121,V
.01,left,111,V
.07,right,123,V
.01,left,111,V
.07,right,123,V
.15,right,124,V
.01,left,111,V
.025,left,112,V
.01,left,111,V
.07,right,123,V
.15,right,124,V
.025,left,112,V
.025,right,122,V
.30,right,125,V
.07,right,123,V
.15,left,114,V
.30,right,125,V
.15,right,124,V
.30,right,125,V
.07,left,113,V
.01,left,111,V
.30,left,115,V
.025,left,112,V
.01,left,111,V
.15,left,114,V
.025,left,112,V
.15,right,124,V
.025,right,122,V
.15,left,114,V
.15,right,124,V
.025,right,122,V
.07,right,123,V
.01,right,121,V
.07,left,113,V
.15,left,114,V
.30,left,115,V
.025,left,112,V
.07,left,113,V
.30,left,115,V
.025,right,122,V
.30,left,115,V
.15,right,124,V
.30,right,125,V
.15,left,114,V
.07,left,113,V
.07,left,113,V
.025,right,122,V
.30,right,125,V
.025,left,112,V
.15,right,124,V
.30,left,115,V
.07,left,113,V
.30,left,115,V
.07,right,123,V
.025,left,112,V
.01,right,121,V
.30,left,115,V
.30,left,115,V
.01,left,111,V
.01,right,121,V
.025,right,122,V
.01,left,111,V
.07,right,123,V
.30,right,125,V
.025,right,122,V
.01,left,111,V
.15,left,114,V
.30,left,115,V
.025,right,122,V
.01,right,121,V
.30,left,115,V
.01,right,121,V
.07,left,113,V
.01,left,111,V
.025,left,112,V
.07,right,123,V
.025,left,112,V
.15,left,114,V
.15,right,124,V
.07,right,123,V
.07,left,113,V
.07,left,113,V
.01,right,121,V
.30,right,125,V
.30,right,125,V
.01,left,211,P
.30,left,215,P
.01,left,211,P
.025,left,212,P
.025,left,212,P
.30,left,215,P
.15,right,224,P
.30,right,225,P
.07,right,223,P
.15,left,214,P
.025,left,212,P
.07,left,213,P
.025,left,212,P
.30,right,225,P
.025,right,222,P
.30,right,225,P
.15,left,214,P
.30,left,215,P
.07,left,213,P
.01,right,221,P
.15,right,224,P
.025,right,222,P
.30,left,215,P
.025,left,212,P
.07,left,213,P
.15,left,214,P
.07,left,213,P
.01,right,221,P
.07,left,213,P
.01,left,211,P
.15,right,224,P
.15,left,214,P
.30,right,225,P
.15,left,214,P
.15,right,224,P
.025,right,222,P
.025,left,212,P
.30,left,215,P
.01,left,211,P
.01,left,211,P
.30,left,215,P
.01,right,221,P
.30,left,215,P
.07,right,223,P
.01,right,221,P
.025,right,222,P
.01,right,221,P
.025,right,222,P
.025,right,222,P
.30,left,215,P
.01,right,221,P
.30,right,225,P
.30,right,225,P
.07,right,223,P
.07,right,223,P
.025,left,212,P
.025,right,222,P
.01,left,211,P
.01,right,221,P
.01,right,221,P
.30,right,225,P
.025,left,212,P
.07,right,223,P
.15,right,224,P
.15,right,224,P
.30,right,225,P
.07,left,213,P
.15,left,214,P
.15,right,224,P
.07,right,223,P
.01,left,211,P
.15,left,214,P
.30,left,215,P
.07,right,223,P
.30,right,225,P
.15,left,214,P
.07,left,213,P
.01,left,211,P
.025,left,212,P
.15,right,224,P
.025,right,222,P
.15,left,214,P
.07,right,223,P
.01,right,221,P
.15,right,224,P
.15,left,214,P
.01,right,221,P
